is_rumor,thread,in_reply_tweet,tweet_id,is_source_tweet,in_reply_user,hashtags_count,retweet_count,favorite_count,mentions_count,user.tweets_count,user.verified,user.followers_count,user.friends_count,sentimentscore,rumor_spreaders_intensity_score
28,2.26657E+19,2.26688E+19,2.2669E+19,0,35568338113,0,29,20,133,933720,0,32870,21108,4.046482684,2.99876E-05
28,1.52447E+19,1.52468E+19,1.52469E+19,0,37723794771,0,1,4,42,20636,0,1176,1848,0.444246032,0.001356852
27,3.50785E+19,0,3.50785E+19,62,0,42,17377,7689,0,6609074,64,353262787,62142,4.938654401,4.08529E-06
27,1.4063E+19,1.40639E+19,1.40642E+19,0,17775587952,0,3,3,93,1155692,0,16453,11110,0.402594628,2.33626E-05
27,1.46958E+19,1.46962E+19,1.46962E+19,0,1307474283,0,26,39,29,555498,0,18765,28215,-0.15,0.000048605
26,1.79542E+19,1.79656E+19,1.79669E+19,0,16225050373,0,3,6,84,2024808,0,71613,76156,1.786230159,1.28407E-05
26,1.63334E+19,1.63344E+19,1.63346E+19,0,28725289048,0,5,3,77,6878671,0,99876,32183,2.677619048,3.7798E-06
26,1.30095E+19,1.30102E+19,1.30102E+19,0,9108966251,0,1,0,98,46407,0,2245,6604,-1.185119048,0.00056026
26,1.46984E+19,1.46989E+19,1.46989E+19,0,56857502692,0,2,1,53,294142,0,21227,46762,2.713888889,8.83927E-05
26,1.36501E+19,1.36503E+19,1.36504E+19,0,37383208983,0,4,10,45,74349,0,1482,2782,0.240125248,0.000349702
25,1.25077E+19,1.25092E+19,1.25092E+19,0,5759704382,0,0,12,90,82875,0,3775,5100,-0.607738095,0.000301659
25,1.25072E+19,1.25074E+19,1.25074E+19,0,14278558147,0,7,8,107,51050,0,5025,11825,0.618861607,0.000489716
24,1.30632E+19,1.30636E+19,1.30636E+19,0,13950556407,0,16,1,42,20511,0,596,1870,1.788020833,0.001170104
24,1.7878E+19,2.62489E+18,1.7878E+19,29,98184740,0,10026,2894,0,2833033,34,21856303,12490,-1.660064935,8.47149E-06
24,1.59828E+19,1.59832E+19,1.59833E+19,0,24247803974,15,39,12,61,1785618,0,39552,57579,0.323100649,1.34407E-05
24,1.89917E+19,1.04911E+19,1.89917E+19,15,10428457369,25,3840,1236,31,718468,0,742155,26795,2.795555556,3.34044E-05
24,1.26012E+19,1.26022E+19,1.26023E+19,0,33144414778,0,2,15,63,5352,0,2232,19356,2.545833333,0.004484305
24,1.3064E+19,1.25198E+19,1.30645E+19,1,10375451838,0,499,185,38,75201,24,122911,16200,7.225,0.000319145
24,1.30629E+19,1.30631E+19,1.30631E+19,0,31433078205,0,2,6,77,996892,0,51532,53336,2.460416667,2.40748E-05
23,1.20742E+19,1.20744E+19,1.20744E+19,0,26554954022,12,1,2,79,135033,0,2254,6166,0.060416667,0.000170329
23,2.7445E+19,2.74461E+19,2.74462E+19,0,78579897241,0,19,24,151,2364615,0,48771,46785,1.815927128,9.72674E-06
22,1.15489E+19,1.15512E+19,1.15513E+19,0,41956084667,0,0,2,32,34733,0,7578,14047,0.606595118,0.000633403
22,2.74431E+19,5.53102E+17,2.74431E+19,48,2097571,37,13541,4525,0,3733144,50,149637239,18931,-0.777777778,5.89316E-06
22,1.93769E+19,0,1.93769E+19,35,0,31,18475,3649,1,2267816,35,10701552,16969,0.072727273,9.70096E-06
22,1.37321E+19,1.16334E+19,1.37337E+19,0,29020620056,0,2,6,62,94295,0,8125,3260,-0.014285714,0.00023331
22,1.8444E+19,0,1.8444E+19,34,0,1,11833,2336,0,3824284,34,191216801,35514,-0.768033911,5.75271E-06
22,1.25223E+19,1.25238E+19,1.2524E+19,0,11150346344,0,6,8,40,314043,0,33765,45921,1.418308081,7.00541E-05
22,1.36099E+19,1.36109E+19,1.36111E+19,0,27396889010,0,1,1,47,138961,0,6018,4932,-0.076238576,0.000158318
22,1.19778E+19,1.19781E+19,1.19784E+19,0,6244195062,3,0,1,50,516987,0,9295,10635,2.956944444,4.25543E-05
22,1.769E+19,1.76904E+19,1.76904E+19,0,58672269712,0,2,11,80,21216,0,2756,15547,0.603391053,0.001036953
22,2.11801E+19,2.11801E+19,2.11803E+19,0,4937608460,23,1,5,51,5885887,0,70747,17276,-2.558522727,3.73775E-06
21,1.98242E+19,1.98255E+19,1.9833E+19,0,37463491706,22,0,0,67,1935574,0,70295,77357,3.572727273,1.08495E-05
21,1.0508E+19,1.05082E+19,1.05082E+19,0,463609756,2,0,2,45,2359584,0,31796,41789,1.058333333,8.89987E-06
21,1.05073E+19,1.05076E+19,1.05076E+19,0,11804626484,0,2,10,63,449631,0,10500,13986,-0.388888889,0.000046705
21,1.16089E+19,1.16093E+19,1.16093E+19,0,31808484242,4,0,18,54,4404,0,795,1776,0.573106061,0.004768392
21,1.09864E+19,9.99064E+18,1.09904E+19,0,5088518773,0,4,4,60,80618,0,3746,12718,1.397348485,0.000260488
21,1.16127E+19,1.16129E+19,1.16129E+19,0,32179399323,1,2,13,30,30877,0,1083,2694,2.383739177,0.000680118
21,1.55081E+19,2.00104E+18,1.55082E+19,14,4815909564,45,5766,2914,5,6371,0,551734,1048,1.194155844,0.003296186
21,1.37995E+19,1.38033E+19,1.38033E+19,0,14282174419,0,3,6,43,78973,0,3393,1119,2.29922619,0.000265914
21,4.32232E+19,0,4.32232E+19,78,0,81,18062,7622,3,9860525,78,76414432,137541,6.393737374,2.1297E-06
21,1.1433E+19,1.14336E+19,1.14339E+19,0,28055648275,1,1,4,41,77760,0,2562,3423,2.478571429,0.000270062
21,1.10074E+19,1.10082E+19,1.10083E+19,0,8822732412,5,2,0,68,1220734,0,11336,18680,-1.694722222,1.72028E-05
20,1.08886E+19,1.0889E+19,1.0889E+19,0,3999891756,0,30,25,28,714025,0,138693,118183,0.407638889,2.80102E-05
20,1.16223E+19,9.96299E+18,1.16259E+19,0,8476022678,0,1,2,42,15787,0,12533,41997,0.68625,0.001266865
20,1.57491E+19,0,1.57491E+19,30,0,55,12306,2846,3,1149469,0,1944887,8880,1.522925685,1.73993E-05
20,2.21258E+19,2.21259E+19,2.21262E+19,0,3201762525,6,0,0,55,507971,0,3976,80021,4.791666667,3.93723E-05
20,1.25212E+19,0,1.25212E+19,23,0,49,4031,1638,4,1475212,23,606240,37812,1.527777778,1.35574E-05
20,2.08918E+19,2.08918E+19,2.08921E+19,0,6907640084,0,1,1,43,561852,0,18686,55150,-7.1,3.55966E-05
19,1.15039E+19,0,1.15039E+19,21,0,27,3678,935,21,2412855,21,3228775,1649994,2.286298701,7.87449E-06
19,1.03459E+19,1.03463E+19,1.03464E+19,0,436391188,0,0,0,25,147703,0,2510,4484,-1.172222222,0.000128637
19,9.5066E+18,9.50681E+18,9.50683E+18,0,21945491358,0,1,13,36,2512397,0,67376,49191,-1.1,7.5625E-06
19,1.10838E+19,1.10839E+19,1.10839E+19,0,700298905,0,4,9,57,7419,0,114,1194,-3.25297619,0.002560992
19,1.06128E+19,1.06129E+19,1.06129E+19,0,12474398897,0,0,3,21,231139,0,1853,8457,1.157986111,8.22016E-05
19,1.15922E+19,1.15925E+19,1.15926E+19,0,22337973248,1,2,12,25,435527,0,26658,27269,3.708240327,4.36253E-05
19,1.05031E+19,1.05072E+19,1.05074E+19,0,6881804693,0,0,0,27,196933,0,14034,20007,2.903645833,9.64795E-05
19,2.8519E+19,2.80191E+19,2.85204E+19,0,29989865205,0,16,10,68,215657,0,17535,38077,-0.096875,8.81029E-05
19,1.36493E+19,0,1.36493E+19,26,0,15,14007,4121,2,6481057,26,14088990,10766,-0.608877234,2.93162E-06
18,9.79753E+18,9.79758E+18,9.79761E+18,0,7497836158,0,1,2,38,83718,0,8506,11753,0.8,0.000215008
18,9.95389E+18,9.95413E+18,9.95477E+18,0,5669431225,0,3,11,64,1955804,0,40052,28350,1.216666667,9.20338E-06
18,9.00505E+18,9.00553E+18,9.00556E+18,0,2063721608,1,0,0,31,40662,0,3870,8874,0.152777778,0.000442674
18,9.96367E+18,9.96367E+18,9.9639E+18,0,655062688,0,0,0,34,41467,0,2942,35962,1.397896825,0.00043408
18,9.95032E+18,9.95043E+18,9.95057E+18,0,14663602464,0,8,19,49,375109,0,6311,2628,1.344047619,4.79861E-05
18,1.21893E+19,1.21932E+19,1.2194E+19,0,12584393750,0,8,9,55,4103762,0,51457,15811,-1.430555556,4.38622E-06
18,1.08869E+19,1.08897E+19,1.08899E+19,0,4442130604,10,2,5,34,36092,0,3377,8452,4.666666667,0.000498725
18,1.04982E+19,9.94859E+18,1.05017E+19,1,16357970497,5,680,235,44,484900,0,8504,4466,0.311363636,3.71211E-05
18,8.96971E+18,7.97759E+18,8.97426E+18,1,6611407905,5,470,157,23,1133872,0,22348,24454,-1.336811756,1.58748E-05
18,9.45092E+18,9.45327E+18,9.45331E+18,0,7050446807,0,0,9,48,3527,0,612,936,-1.60625,0.005103487
18,9.79906E+18,9.8047E+18,9.8051E+18,0,20636115570,0,1,1,20,55905,0,1869,16932,1.270416667,0.000321975
18,1.37169E+19,0,1.37169E+19,26,0,16,8493,2193,2,1312964,26,4539759,8814,1.784848485,1.37094E-05
17,8.58548E+18,8.5856E+18,8.58563E+18,0,8334435012,3,1,5,77,232823,0,8843,12239,2.266698796,7.30168E-05
17,9.38909E+18,9.3893E+18,9.38931E+18,0,9007511946,0,0,8,30,29031,0,613,2949,0.742146916,0.000585581
17,1.76583E+19,0,1.76583E+19,28,0,25,8031,3343,2,4031304,33,155177614,91663,2.209848485,0.000004217
17,9.25532E+18,9.25571E+18,9.25575E+18,0,8092270459,0,1,8,26,137479,0,5695,11985,-0.043885281,0.000123655
17,9.87925E+18,9.88032E+18,9.88054E+18,0,11788578566,0,0,8,28,241995,0,485504,295164,2.725952381,7.02494E-05
17,9.90122E+18,9.90207E+18,9.90352E+18,0,4384775728,0,3,14,62,277590,0,5532,6124,0.159621212,6.12414E-05
17,2.79862E+19,2.7989E+19,2.79892E+19,0,95695189082,0,1,2,112,180819,0,391,0,-1.767003968,9.40167E-05
16,9.11053E+18,8.6105E+18,9.11083E+18,1,5830771137,3,451,285,70,1805545,0,64938,27003,1.322222222,8.86159E-06
16,8.00557E+18,8.00576E+18,8.00577E+18,0,11762338253,1,4,4,43,85600,0,19584,31568,1.35,0.000186916
16,8.00557E+18,8.00586E+18,8.00588E+18,0,41158433065,2,0,2,47,541148,0,22291,17461,1.642613636,2.95668E-05
16,1.91541E+19,5.80347E+17,1.91542E+19,32,7587032,28,9174,1474,23,477371,0,1914892,12653,-0.371969697,3.35169E-05
16,8.40046E+18,8.40064E+18,8.40068E+18,0,11261068436,0,2,4,31,49168,0,740,1140,-0.656944444,0.000325415
16,8.71095E+18,8.7115E+18,8.71154E+18,0,11950474629,2,0,6,38,10807,0,209,160,2.548958333,0.001480522
16,8.95212E+18,8.9522E+18,8.95224E+18,0,3769085415,0,2,0,76,355125,0,24586,24540,-0.660119048,4.50546E-05
15,1.11554E+19,1.11555E+19,1.11555E+19,0,3735257423,52,3,5,35,919166,0,32253,41871,2.614880952,1.63191E-05
15,1.98146E+19,1.98148E+19,1.98151E+19,0,9436684985,34,14,14,49,2464861,0,135768,110620,0.870991162,6.08554E-06
15,9.20885E+18,9.20885E+18,9.20885E+18,0,17487767695,0,0,0,33,1413682,0,10567969,1213531,0,1.06106E-05
15,9.40818E+18,9.40818E+18,9.41123E+18,0,5239664722,0,2,2,34,1129018,0,12019,34,-0.3,1.32859E-05
15,8.30383E+18,8.30411E+18,8.30413E+18,0,3942230335,0,1,15,30,48580,0,23336,21778,0.772411616,0.000308769
15,7.87577E+18,7.87596E+18,7.87597E+18,0,14395481115,0,1,2,40,151896,0,5711,6209,2.059384921,9.87518E-05
15,9.50339E+18,9.50397E+18,9.50408E+18,0,2825654979,1,21,29,54,988635,0,140084,135571,1.668181818,1.51724E-05
15,1.08064E+19,3.81973E+18,1.08065E+19,11,8042200446,12,2006,808,13,304517,0,351318,144183,1.194393939,4.92583E-05
15,8.29188E+18,8.29293E+18,8.29294E+18,0,34553549214,0,1,1,71,114315,0,5707,7646,2.530681818,0.000131216
15,8.29212E+18,8.29359E+18,8.2937E+18,0,8143427432,0,0,0,29,175678,0,18262,6000,1.905555556,8.53835E-05
15,1.42431E+19,0,1.42431E+19,26,0,37,5560,2409,5,3713645,26,13047607,27786,-0.545707071,4.03916E-06
15,1.9106E+19,1.91061E+19,1.91063E+19,0,17852022260,0,3,6,58,4547809,0,40451,69954,1.236363636,3.29829E-06
15,1.6777E+19,1.20378E+19,1.67787E+19,7,29858037600,9,2877,2017,26,3330371,0,666879,402951,1.756825397,0.000004504
15,7.87568E+18,7.87925E+18,7.88045E+18,0,15451376711,0,2,2,42,133133,0,15249,30015,-2.5671875,0.000112669
15,1.15884E+19,1.57513E+18,1.15884E+19,19,2709223809,9,5830,1604,6,2015723,22,14264429,43059,-0.403096903,7.4415E-06
15,1.79702E+19,9.97784E+18,1.7975E+19,9,6332209395,37,2996,1215,27,8873393,0,349794,69525,3.744345238,1.69045E-06
15,8.16524E+18,8.167E+18,8.16707E+18,0,11320953955,0,0,2,27,206741,0,7333,4785,-0.765,7.25545E-05
15,8.70942E+18,8.70942E+18,8.70942E+18,0,236043008,0,1,0,16,215134,0,301724,11648,0,0.000069724
15,8.29477E+18,8.29587E+18,8.2959E+18,0,21798191695,0,0,23,29,1769853,0,61284,61320,1.045833333,8.47528E-06
15,8.02918E+18,7.02897E+18,8.02955E+18,1,5130039019,18,585,279,33,594677,0,182994,162682,-0.698011364,2.52238E-05
15,7.5043E+18,7.50446E+18,7.50457E+18,0,7767399729,0,1,0,72,290070,0,23565,26250,1.605,5.17117E-05
15,8.16576E+18,8.16593E+18,8.16595E+18,0,39318917535,0,0,0,30,40166,0,2275,5070,0.827380952,0.00037345
14,7.00393E+18,5.50335E+18,7.0042E+18,2,930053102,6,509,293,15,2395861,0,197031,26977,-0.561574074,5.84341E-06
14,1.27279E+19,0,1.27279E+19,23,0,39,3599,708,2,3319560,23,28960285,8739,-0.56482684,4.21743E-06
14,8.14045E+18,8.14071E+18,8.14079E+18,0,2747130430,1,0,0,17,50302,0,9563,21126,-0.714583333,0.000278319
14,8.70488E+18,8.71001E+18,8.71004E+18,0,4909084664,0,0,0,47,75605,0,1648,9240,0.4875,0.000185173
14,8.30182E+18,8.30193E+18,8.30199E+18,0,18857606695,0,1,4,20,63351,0,2853,5255,0.420454545,0.000220991
14,1.50892E+19,1.50892E+19,1.50893E+19,0,12484547546,6,3,8,55,11470411,0,84661,82514,4.247619048,1.22053E-06
14,7.73911E+18,7.73939E+18,7.73942E+18,0,11560811924,0,2,6,23,298306,0,2926,4168,0.966666667,4.69317E-05
14,7.75024E+18,7.75051E+18,7.75052E+18,0,31936269554,0,0,14,28,55502,0,12556,17951,1.805832131,0.000252243
14,7.00469E+18,7.00505E+18,7.00526E+18,0,13954830659,6,0,1,22,68880,0,9352,16772,-0.069444444,0.000203252
14,7.62004E+18,7.62022E+18,7.62024E+18,0,11548120147,0,1,5,16,242002,0,141832,31294,0,5.78508E-05
14,8.67807E+18,8.67826E+18,8.67827E+18,0,3046639075,0,0,3,17,1682135,0,95561,88476,0.313888889,8.32276E-06
14,7.6881E+18,7.68831E+18,7.68837E+18,0,24683753245,0,1,8,41,656352,0,33341,28972,-2.944791667,0.00002133
14,1.38215E+19,0,1.38215E+19,25,0,39,10754,2604,5,115813,0,911701,6036,0.00952381,0.000120885
14,7.07807E+18,7.08483E+18,7.08489E+18,0,4241874423,0,2,2,42,28397,0,4119,4501,0.425,0.00049301
14,7.61983E+18,7.62046E+18,7.6205E+18,0,9988083476,0,0,13,14,29569,0,5448,13191,-0.713636364,0.000473469
14,7.62203E+18,7.62258E+18,7.62262E+18,0,19430521603,0,0,5,43,27818,0,910,1204,-0.130555556,0.000503271
14,7.34941E+18,7.34952E+18,7.34953E+18,0,2537570550,0,0,1,15,22142,0,448,3088,1.854231481,0.000632283
14,7.62078E+18,7.07697E+18,7.62134E+18,1,5338783359,0,585,421,17,857247,0,72672,34226,-0.372222222,1.63313E-05
14,2.5711E+19,2.57155E+19,2.57178E+19,0,44839382732,0,0,0,83,716687,0,5786,2524,1.385077561,1.95343E-05
14,7.62329E+18,7.62362E+18,7.62367E+18,0,32365171678,3,0,0,28,5360,0,434,2160,1.107954545,0.00261194
14,8.63316E+18,8.63404E+18,8.63463E+18,0,1364774992,0,0,1,22,37401,0,456,711,1.916666667,0.000374322
13,1.49114E+19,1.49117E+19,1.49118E+19,0,1900861328,0,11,9,39,94239,0,3676,10478,1.538768601,0.000137947
13,7.32396E+18,7.32401E+18,7.32415E+18,0,13761057926,1,7,8,26,245608,0,28208,27159,1.725,5.29299E-05
13,1.62734E+19,1.62739E+19,1.62739E+19,0,31200524159,3,2,10,67,1400643,0,22142,18876,-1.821790675,9.28145E-06
13,7.00348E+18,7.00445E+18,7.00463E+18,0,12308078157,1,1,11,25,32912,0,3608,5848,-0.247619048,0.000394993
13,1.8E+19,4.99692E+17,1.8E+19,21,21274637,44,11166,4286,2,2278658,0,1145688,19352,1.628075397,5.70511E-06
13,8.31979E+18,0,8.31979E+18,15,0,36,2621,1049,1,1268505,15,2271682,17441,0.115151515,1.02483E-05
13,7.86878E+18,7.86929E+18,7.86936E+18,0,12918012987,1,0,1,30,45222,0,869,3512,-0.924305556,0.000287471
13,7.07656E+18,3.26615E+18,7.07669E+18,0,16985688219,0,0,1,20,25608,0,3659,14742,1.811287879,0.000507654
13,7.63063E+18,7.63088E+18,7.63096E+18,0,13242700189,0,0,6,25,217015,0,6007,7390,-0.840384615,5.99037E-05
13,6.94176E+18,6.94193E+18,6.94195E+18,0,9863627932,0,0,4,20,21877,0,1155,2896,-1.156082589,0.000594231
13,7.19588E+18,7.19602E+18,7.19603E+18,0,15728425898,1,1,2,31,137799,0,5819,5318,-1.9,9.43403E-05
13,7.87414E+18,7.87417E+18,7.8742E+18,0,1647992404,0,6,4,23,18783,0,1029,7402,-1.748972902,0.000692115
13,7.18889E+18,7.18952E+18,7.18955E+18,0,1887664674,0,0,0,39,65104,0,624,1170,0.94375,0.000199681
13,1.20742E+19,1.20744E+19,1.20744E+19,0,11380879436,0,1,1,45,20540,0,1790,24195,-0.865595238,0.000632911
13,1.93979E+19,0,1.93979E+19,35,0,29,9863,3531,2,7000048,35,27417191,9258,1.907323232,1.85713E-06
13,7.55629E+18,7.55635E+18,7.55637E+18,0,10222781937,0,0,0,22,180933,0,5678,3370,0.579861111,7.18498E-05
13,8.98028E+18,8.98028E+18,8.98068E+18,0,5169265500,85,2,0,37,1427056,0,120603,105222,1.105989583,9.10966E-06
13,7.0036E+18,7.00452E+18,7.00453E+18,0,7316709291,0,0,1,50,558050,0,5205,7402,2.059722222,2.32954E-05
13,2.15304E+19,4.99532E+17,2.15304E+19,24,83039463,51,28536,7090,7,1229347,43,5768476,5059,1.814867725,1.05747E-05
13,6.82409E+18,6.82452E+18,6.82454E+18,0,532643159,0,0,0,25,8312,0,156,429,1.666666667,0.001564004
13,6.50363E+18,6.50623E+18,6.50973E+18,0,462057828,0,32,17,27,356018,0,19136,17043,0.164285714,0.000036515
13,7.17781E+18,7.17786E+18,7.17786E+18,0,10039321404,0,1,0,28,201904,0,13425,11762,0.956845238,0.000064387
13,1.29428E+19,0,1.29428E+19,21,0,26,3667,1287,3,2507934,24,32812159,18485,-0.842857143,5.18355E-06
13,7.18632E+18,7.18639E+18,7.18643E+18,0,13964998394,0,0,5,27,27587,0,2702,4626,1.689384921,0.000471236
13,6.82544E+18,6.82561E+18,6.82564E+18,0,14170383084,0,0,2,31,3159,0,65,442,-1.002651515,0.004115226
13,7.54458E+18,7.54467E+18,7.5447E+18,0,4534026003,7,0,4,22,82856,0,15522,20385,1.132539683,0.000156899
13,6.82544E+18,6.82561E+18,6.82562E+18,0,12625192022,0,1,2,22,33495,0,1811,2639,1.233333333,0.000388118
13,6.50451E+18,3.00227E+18,6.50508E+18,0,2695699640,1,0,1,28,1508,0,221,780,0.266319444,0.00862069
12,6.6337E+18,6.63403E+18,6.63405E+18,0,4300171571,0,1,8,12,10548,0,216,333,0.021875,0.001137656
12,7.499E+18,3.00017E+18,7.49911E+18,5,3667830852,11,1628,919,9,3208424,0,394042,24030,-0.55,3.74015E-06
12,6.64251E+18,6.64262E+18,6.64263E+18,0,3308683247,0,7,5,27,414509,0,133511,12396,0.4,2.89499E-05
12,2.65897E+19,0,2.65897E+19,48,0,15,10328,3635,6,5200543,48,148917019,51972,2.010606061,2.30745E-06
12,6.29944E+18,6.30009E+18,6.30011E+18,0,1492199406,0,1,0,35,3719,0,456,1372,-0.559199134,0.003226674
12,6.53425E+18,6.53448E+18,6.53451E+18,0,25498246126,0,0,0,23,53183,0,264,540,0.94047619,0.000225636
12,2.26738E+19,2.26739E+19,2.26739E+19,0,8926250538,53,52,82,53,1242585,0,44212,24739,16.35,9.65729E-06
12,1.63768E+19,1.6377E+19,1.63771E+19,0,34017070917,0,14,22,85,1397058,0,39435,18779,0.308333333,8.58948E-06
12,6.00402E+18,6.00435E+18,6.00495E+18,0,1340907474,1,0,3,39,1404,0,72,468,1.901240079,0.008547009
12,6.63351E+18,6.63498E+18,6.63553E+18,0,8135783056,4,3,0,45,248085,0,17385,24000,0.3,4.83705E-05
12,6.30034E+18,6.30047E+18,6.30049E+18,0,5527007742,0,0,2,34,77244,0,1955,3504,0.554166667,0.000155352
12,1.04996E+19,1.04996E+19,1.04997E+19,0,8357434224,1,0,1,30,93805,0,1652,5340,0,0.000127925
12,6.53194E+18,6.53412E+18,6.53468E+18,0,3454197772,0,0,1,15,75634,0,708,1596,-1.576262626,0.000158659
12,6.53192E+18,6.53227E+18,6.53229E+18,0,15966544062,1,1,10,15,59530,0,2830,3864,1.229184704,0.000201579
12,8.29353E+18,8.29403E+18,8.29432E+18,0,11474199075,0,2,3,35,49494,0,1506,1743,-0.738392857,0.000242454
12,8.0966E+18,8.09661E+18,8.09671E+18,0,1819893962,4,24,5,15,174407,0,30172,1446,-0.323015873,6.88046E-05
12,5.97905E+18,5.98501E+18,5.98569E+18,0,5356789476,0,0,0,24,31212,0,2136,10776,-0.4,0.000384468
12,6.96385E+18,6.96399E+18,6.96402E+18,0,1039232628,0,0,0,12,96451,0,19339,24007,0.672222222,0.000124416
12,6.51343E+18,6.51347E+18,6.51348E+18,0,18514585980,0,3,2,21,103377,0,2399,6225,0.408333333,0.00011608
12,7.73921E+18,7.73928E+18,7.73929E+18,0,37467027729,0,0,3,41,47372,0,686,1708,0.466666667,0.000253314
12,6.53192E+18,6.53226E+18,6.5323E+18,0,408863136,0,0,6,15,47374,0,4812,5148,2.831547619,0.000253303
12,7.05699E+18,7.05743E+18,7.05758E+18,0,2319749223,0,1,10,28,119132,0,16053,21841,-2.269791667,0.000100729
12,8.93564E+19,2.99624E+18,8.93564E+19,102,757161951,221,73478,27661,32,2413833,179,19323107,194236,6.264458874,4.97135E-06
12,3.81469E+19,3.8147E+19,3.81473E+19,0,20176881118,7,10,11,129,1226784,0,47296,84510,-0.9725,9.78167E-06
